ID,Abstract Title,Primary Drug,Secondary Drug,Comparator Drug,
6022,"A Prospective, Open-Label, Multicenter, Randomized Controlled Study Comparing the Efficacy and Safety of Polatuzumab Vedotin, Rituximab, Cyclophosphamide, Doxorubicin, and Prednisone Combined with Orelabrutinib/Chidamide/Venetoclax/Lenalidomide/Penpulimab (Pola-RCHP-X) Versus RCHOP-X and Pola-Rchp in Previously Untreated Patients with Diffuse Large B-Cell Lymphoma","Chidamide, Cyclophosphamide, Doxorubicin, Lenalidomide, Orelabrutinib, Penpulimab, Polatuzumab Vedotin, Prednisone, Rituximab, Venetoclax",,,
148,Patient-Reported Chemotherapy-Induced Peripheral Neuropathy (CIPN) in Advanced-Stage Classical Hodgkin Lymphoma Treated with BrECADD and eBEACOPP in the HD21 Trial,"Bleomycin, Brentuximab Vedotin, Cyclophosphamide, Dexamethasone, Doxorubicin, Etoposide, Prednisone, Procarbazine, Vincristine",,,
671,Novel Targeted Agents in Combination with R-MINE (RMINE+X) Based on Different Molecular Subtypes in Relapsed/Refractory Diffuse Large B-Cell Lymphoma:a Phase 2 Multicenter Study,"Chidamide, Etoposide, Isophosphamide, Lenalidomide, Mitoxantrone Hydrochloride Liposome, Orelabrutinib, Penpulimab, Rituximab",,,
4792,"A Randomized Phase 2, Investigator-Led Trial of Glofitamab-R-CHOP or Glofitamab-Polatuzumab Vedotin-R-CHP (COALITION) in Younger Patients with High Burden, High-Risk Large B-Cell Lymphoma Demonstrates Safety, Uncompromised Chemotherapy Intensity, a High Rate of Durable Remissions, and Unique FDG-PET Response Characteristics","Cyclophosphamide, Doxorubicin, Glofitamab, Polatuzumab Vedotin, Prednisone, Rituximab, Vincristine",,,
560,"Gemtuzumab Ozogamicin Added to Fludarabine, Cytarabine and G-CSF (FLAG-GO) Leads to Superior Molecular Response and Survival Outcomes Than Idarubicin (FLAG-IDA): 200 Patients Long-Term Follow up","Cytarabine, Fludarabine, Gemtuzumab Ozogamicin, Granulocyte-Colony Stimulating Factor",,Idarubicin,
6012,"SKYGLO: A Global Phase III Randomized Study Evaluating Glofitamab Plus Polatuzumab Vedotin + Rituximab, Cyclophosphamide, Doxorubicin, and Prednisone (Pola-R-CHP) Versus Pola-R-CHP in Previously Untreated Patients with Large B-Cell Lymphoma (LBCL)","Cyclophosphamide, Doxorubicin, Glofitamab, Polatuzumab Vedotin, Prednisone, Rituximab",,"Cyclophosphamide, Doxorubicin, Glofitamab, Polatuzumab Vedotin, Prednisone, Rituximab",
686,"The Effectiveness of Levofloxacin in Prevention of Febrile Episodes in Non-Hodgkin Lymphoma Patients Receiving Rituximab, Cyclophosphamide, Vincristine, Doxorubicin and Prednisolone (R-CHOP)","Cyclophosphamide, Doxorubicin, Levofloxacin, Prednisolone, Rituximab, Vincristine",vincristine,,
661,"Combination of Mitoxantrone Hydrochloride Liposome with Gemcitabine, Cisplatin and Dexamethasone in Patients with Relapsed or Refractory Peripheral T Cell Lymphoma: A Phase I Study","Cisplatin, Dexamethasone, Gemcitabine, Mitoxantrone Hydrochloride Liposome",cisplatin,,
569,Comparison of FLAG-Idarubicin to FLAG-Idarubicin Plus Venetoclax for Treatment of Newly Diagnosed AML in Patients Eligible for Intensive Induction. Analysis of 200 Consecutive Patients Treated at a Single Center,"Cytarabine, Fludarabine, Granulocyte Colony-Stimulating Factor, Idarubicin",,Venetoclax,
6089,"Guidance 05: A Prospective, Multicenter, Open-Label, Randomized, Controlled Study to Evaluate the Efficacy and Safety of Genotype-Guided Targeted Agents in Combination with Polatuzumab Vedotin, Rituximab, Cyclophosphamide, Doxorubicin and Prednisone (POLA-RCHP-X) Versus Pola-Rchp in Patients with Previously Untreated Diffuse Large B-Cell Lymphoma","Cyclophosphamide, Doxorubicin, Polatuzumab Vedotin, Prednisone, Rituximab",,"Cyclophosphamide, Doxorubicin, Polatuzumab Vedotin, Prednisone, Rituximab",
1208,Real World Outcomes with Evolving Management of Cytokine Release Syndrome in CAR-T Therapy,CAR-T,,,
3863,Preclinical Efficacy of Decoy-Resistant IL-18 in Hematological Malignancies,IL-18,,,
2663,Reduced FDG Uptake in the Brain on Baseline 18FDG PET/CT Predicts Worse Prognosis of Newly Diagnosed Intravascular Large B-Cell Lymphoma and Advanced-Stage Diffuse Large B-Cell Lymphoma,18FDG,,,
1356,Split-Dose R-CHOP for Older Patients with Treatment Naive DLBCL,R-CHOP,,,
2640,Outcomes of Relapsed or Refractory Diffuse Large B-Cell Lymphoma Treated with R-GemOx: A Multi-Center Retrospective Cohort Study,R-GEMOX,,,
3429,"ASC4REAL: Efficacy and Tolerability Comparison between Ascembl Study, a Phase 3 Randomized Clinical Trial (RCT), and Consolidated Real-World (RW) Evidence with Asciminib in CML Patients Beyond 2 TKIs",Asciminib,,,
3489,Treatment with First-Line Ibrutinib Improves Overall Survival in Patients with Chronic Lymphocytic Leukemia (CLL) and High-Risk Genomic Features to Rates Approximating an Age-Matched US Population: Pooled Analysis of Phase 3 Trials with 10 Years of Follow-up,Ibrutinib,,,
4343,Updated Results and Longer Follow-up from the AUGMENT-101 Phase 2 Study of Revumenib in All Patients with Relapsed or Refractory (R/R) KMT2Ar Acute Leukemia,Revumenib,,,
2422,Lymphodepletion with Fludarabine/Cyclophosphamide Shows Higher Complete Response Rates Compared to Bendamustine Prior to CAR-T Therapy,"Cyclophosphamide, Fludarabine",,Bendamustine,
2954,"Optimized Recombinant Human Thrombopoietin(rhTPO) Regimen Versus Eltrombopag for Pre-Treated Patients with Primary Immune Thrombocytopenia: Interim Results from a Prospective, Multicenter, Randomized Trial (TE-ITP study)",Recombinant Human Thrombopoietin,,Eltrombopag,
4960,A Randomized Phase II Study of Mosunetuzumab SC Plus Polatuzumab Vedotin Demonstrates Improved Outcomes Versus Rituximab Plus Polatuzumab Vedotin in Patients (Pts) with Relapsed or Refractory (R/R) Large B-Cell Lymphoma (LBCL),"Mosunetuzumab, Polatuzumab Vedotin",,"Polatuzumab Vedotin, Rituximab",
549,"Comparing the Efficacy and Safety of VAC (Venetoclax, Azacitidine, Chidamide) and VA Regimens As Induction Therapy for Newly Diagnosed Patients with Immunophenotypically Mature Monocytic AML","Azacitidine, Chidamide, Venetoclax",,"Azacitidine, Venetoclax",
4796,"Decitabine Plus All-Trans Retinoic Acid Versus Decitabine Monotherapy for Myelodysplastic Syndromes with Excess Blasts: A Multicentre, Randomized Controlled Trial","All-Trans Retinoic Acid, Decitabine",,Decitabine,
3754,"Weekly Selinexor, Bortizomib and Dexamethasone (SVd) Versus Twice Weekly Bortizomib and Dexamethasone (Vd) in Chinese Patients with Relapsed and Refractory Multiple Myeloma (RRMM): Primary Analysis of Phase 3 Bench Study","Bortezomib, Dexamethasone, Selinexor",,"Bortezomib, Dexamethasone",
4151,Primary Results of Patient-Reported Outcomes in Patients with Relapsed/Refractory Diffuse Large B-Cell Lymphoma Treated with Glofitamab Plus Gemcitabine and Oxaliplatin (Glofit-GemOx) Versus Rituximab Plus GemOx (R-GemOx) from the Phase III Starglo Study,"Gemcitabine, Glofitamab, Oxaliplatin",,Rituximab,
3971,Glofitamab with Gemcitabine and Oxaliplatin Is Cost-Effective Versus Rituximab with Gemcitabine and Oxaliplatin for US Patients with Relapsed/Refractory Diffuse Large B-Cell Lymphoma Who Were Not Candidates for Autologous Stem Cell Transplant,"Gemcitabine, Glofitamab, Oxaliplatin",,"Gemcitabine, Oxaliplatin, Rituximab",
5996,"Trial in Progress: A Multicenter, Open Label, Randomized, Phase 2 Study of Venetoclax and Azacitidine Plus Cusatuzumab Versus Venetoclax and Azacitidine Alone in Newly Diagnosed AML Patients Who Are Not Candidates for Intensive Therapy","Azacitidine, Cusatuzumab, Venetoclax",,"Azacitidine, Venetoclax",
4065,"Comparison of Ixazomib, Lenalidomide Plus Dexamethasone (IRd) and Bortezomib, Lenalidomide Plus Dexamethasone (VRd) in Newly Diagnosed Multiple Myeloma in China","Dexamethasone, Ixazomib, Lenalidomide",,"Bortezomib, Dexamethasone, Lenalidomide",
4404,A Phase II Randomized Trial Comparing Low-Dose Cytarabine and Venetoclax +/- Midostaurin in Non-Adverse Cytogenetic Risk Acute Myeloid Leukemia: The ALLG AMLM25 Intervene Trial,Cytarabine,Venetoclax,Midostaurin,
3964,Olutasidenib Alone or in Combination with Azacitidine in Patients with mIDH1 Myelodysplastic Syndromes/Neoplasms: Final 5-Year Data,Olutasidenib,Azacitidine,,
1743,"Preliminary Data of a Single-Arm, Phase II Study of Orelabrutinib with/without Rituximab in Patients with Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma after BTK Inhibitor Therapy",Orelabrutinib,Rituximab,,
4283,"Motixafortide (CXCR4 Inhibition) Alone and in Combination with Natalizumab (VLA-4 Inhibition) As a Novel Regimen to Mobilize Hematopoietic Stem Cells for Gene Therapies in Sickle Cell Disease: A First-in-Human, Proof-of-Principle Safety and Feasibility Study",Motixafortide,Natalizumab,,
987,A Phase I Study of CD19 CAR T-Cells with Escalating Doses of Lymphodepletion with or without Rituximab in Relapsed/Refractory Diffuse Large B-Cell Lymphoma,CD19 Car T-Cell,Rituximab,,
514,Phase III Randomized COMMODORE 1 Trial: 2-Year Safety and Efficacy of Crovalimab in Patients with Paroxysmal Nocturnal Hemoglobinuria (PNH) Who Switched from Eculizumab,"Crovalimab, Eculizumab",Eculizumab,,
919,Gene Therapy for Artemis-SCID and Artemis-Leaky-SCID Patients: Preliminary Results of the French Artegene Phase I/II Clinical Trial,,,,
968,Age Is a Crucial Determinant of GFRS with Incidence of Severe Chronic GVHD Reducing over Time in Haemopoietic Cell Transplantation for Transfusion Dependent Thalassaemia: Real World Data from 2010-2021. an Analysis of the European Society for Blood and Bone Marrow Transplantation Hemoglobinopathy Working Party,,,,
1023,Integrating Chromosomal 1 Abnormalities into the Definition of High-Risk Multiple Myeloma: A Report from the Australian and New Zealand Myeloma and Related Diseases Registry,,,,
1043,Real World Efficacies of First Line Treatments in Non-Transplant-Eligible Newly Diagnosed (ND-NTE) Multiple Myeloma (MM) Patients: A Challenge to Maia ? an Analysis from the Austrian Myeloma Registry (AMR),,,,
1061,Health Resource Utilization Among Patients with Warm Autoimmune Hemolytic Anemia in Sweden: A Retrospective Registry-Based Study,,,,
1098,Complementary and Alternative Medicine (CAM) Use Reported Among Individuals with Immune Thrombocytopenia (ITP): Data from the ITP Natural History Study Registry,,,,
1123,Chive-Impact: Establishing the Clonal Hematopoiesis and Inflammation in the Vasculature (CHIVE) Registry and Biorepository in Underserved Areas,,,,
1171,Incorporating Patient-Reported Outcomes Version of the Common Terminology Criteria for Adverse Events (PRO-CTCAE) into Dose Review in a Phase I Clinical Trial,,,,
1290,Treatment of First Relapse of Multiple Myeloma in Australia and New Zealand (ANZ): Treatment Patterns and Outcomes: An ANZ Myeloma and Related Diseases Registry (ANZ MRDR) Analysis,,,,
3641,Multi-Omics Reveal Immune Microenvironment Alterations in Multiple Myeloma and Its Precursor Stages,,,,
450,"TP53, CD36 Mutations and CDKN2A Loss Predict Poor Outcome in Mantle Cell Lymphoma: Molecular Analysis of the FIL V-Rbac Phase 2 Trial",,,,
503,Real World Evidence of Second Line Therapy in Relapsed/Refractory Large B Cell Lymphoma: Spanish Multicenter Geltamo Study,,,,
620,Sequential Bruton Tyrosine Kinase Inhibitor Therapy in Relapsed or Refractory Mantle Cell Lymphoma Following Chemotherapy: Real-World Outcomes and Attrition Rates - an Updated Report from the Asia-Pacific Multinational Retrospective Registry,,,,
641,"Real World Treatment Outcomes in the First Line Management of Waldenstrom Macroglobulinemia from the Global Patient Derived Data Registry, Whimsical",,,,
801,Adolescents and Young Adults (AYA) with Myeloproliferative Neoplasms (MPNs): Analysis of Patient Outcomes and Impact of High-Molecular Risk Mutations,,,,
